fitness,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,fliplr,flipud,mosaic,mixup
0.17178,0.01718,0.7,0.45066,5.0,0.10773,0.52572,0.0,0.0,0.5,0.0,1.0,0.0
0.14322,0.015,0.61635,0.4752,5.0,0.1,0.53908,0.0,0.0,0.5,0.0,0.82876,0.0
0.08548,0.01633,0.65213,0.5,5.0,0.10864,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.13341,0.015,0.55019,0.40864,5.0,0.1043,0.56654,0.0,0.0,0.5,0.0,1.0,0.0
0.16219,0.01506,0.7,0.5,5.22486,0.10685,0.55226,0.0,0.0,0.5,0.0,0.97593,0.0
0.16825,0.01522,0.7,0.48043,5.0,0.10902,0.56956,0.0,0.0,0.5,0.0,0.99624,0.0
0.15198,0.015,0.7,0.39476,5.17395,0.1,0.52173,0.0,0.0,0.5,0.0,1.0,0.0
0.17532,0.015,0.62809,0.43387,5.00337,0.1,0.56284,0.0,0.0,0.5,0.0,1.0,0.0
0.15751,0.01581,0.63452,0.37822,5.07678,0.1,0.6,0.0,0.0,0.5,0.0,0.98462,0.0
0.1406,0.015,0.7,0.49115,5.0,0.13324,0.53033,0.0,0.0,0.5,0.0,1.0,0.0
0.1565,0.01636,0.7,0.5,5.01738,0.1,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.16652,0.01527,0.63724,0.45288,5.36535,0.1,0.6,0.0,0.0,0.5,0.0,0.99172,0.0
0.17604,0.01522,0.61155,0.5,5.0,0.1,0.45562,0.0,0.0,0.5,0.0,0.8,0.0
0.12274,0.015,0.62922,0.42766,5.0,0.1,0.42505,0.0,0.0,0.5,0.0,1.0,0.0
0.1495,0.015,0.69682,0.39719,5.0,0.10236,0.56284,0.0,0.0,0.5,0.0,1.0,0.0
0.15039,0.01554,0.60784,0.46956,5.0,0.10776,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.14402,0.01601,0.7,0.47602,5.28661,0.11292,0.6,0.0,0.0,0.5,0.0,1.0,0.0
0.15576,0.01521,0.6991,0.5,5.0,0.1086,0.55032,0.0,0.0,0.5,0.0,1.0,0.0
0.15902,0.01542,0.7,0.46089,5.0,0.10275,0.53533,0.0,0.0,0.5,0.0,0.98238,0.0
0.156,0.01541,0.69912,0.5,5.01738,0.1,0.50319,0.0,0.0,0.5,0.0,0.89502,0.0
0.15823,0.01559,0.63686,0.48385,5.01738,0.10902,0.57516,0.0,0.0,0.5,0.0,0.98467,0.0
0.17232,0.015,0.7,0.46616,5.0,0.11936,0.54712,0.0,0.0,0.5,0.0,1.0,0.0
0.16978,0.01618,0.68279,0.47593,5.46643,0.1,0.59404,0.0,0.0,0.5,0.0,1.0,0.0
0.1671,0.015,0.65774,0.47067,5.09038,0.10946,0.5435,0.0,0.0,0.5,0.0,0.9978,0.0
0.16381,0.0166,0.7,0.5,5.0,0.1,0.55226,0.0,0.0,0.5,0.0,0.90881,0.0
0.19247,0.015,0.68015,0.44885,5.0,0.1,0.58979,0.0,0.0,0.5,0.0,0.98938,0.0
0.17269,0.01598,0.7,0.49144,5.22959,0.10973,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.1415,0.015,0.66202,0.43754,5.0,0.10543,0.52577,0.0,0.0,0.5,0.0,0.97715,0.0
0.18036,0.015,0.6164,0.44644,5.0,0.1,0.52989,0.0,0.0,0.5,0.0,1.0,0.0
0.15793,0.01537,0.63724,0.44393,5.0,0.1,0.56284,0.0,0.0,0.5,0.0,0.949,0.0
0.16838,0.01905,0.65965,0.40074,5.0,0.10413,0.3417,0.0,0.0,0.5,0.0,1.0,0.0
0.18037,0.015,0.7,0.5,5.56623,0.10502,0.55226,0.0,0.0,0.5,0.0,1.0,0.0
0.15611,0.01662,0.69961,0.43541,5.25042,0.10005,0.6,0.0,0.0,0.5,0.0,0.88629,0.0
0.14107,0.01522,0.7,0.5,5.32166,0.13244,0.57164,0.0,0.0,0.5,0.0,1.0,0.0
0.15163,0.01522,0.7,0.49867,5.06966,0.11021,0.54218,0.0,0.0,0.5,0.0,1.0,0.0
0.15569,0.015,0.7,0.40572,5.0,0.1,0.36699,0.0,0.0,0.5,0.0,1.0,0.0
0.15816,0.01527,0.6865,0.5,5.0,0.10902,0.54919,0.0,0.0,0.5,0.0,1.0,0.0
0.17894,0.01595,0.53219,0.43541,5.0,0.10093,0.6,0.0,0.0,0.5,0.0,0.872,0.0
0.17466,0.015,0.53852,0.35182,5.0,0.10498,0.57142,0.0,0.0,0.5,0.0,0.88658,0.0
0.12862,0.01525,0.65519,0.43541,5.0,0.10303,0.48597,0.0,0.0,0.5,0.0,1.0,0.0
0.15015,0.015,0.63724,0.41482,5.45154,0.1,0.56284,0.0,0.0,0.5,0.0,1.0,0.0
0.17058,0.01522,0.7,0.48235,5.08285,0.10382,0.55226,0.0,0.0,0.5,0.0,0.94898,0.0
0.18516,0.015,0.7,0.5,5.0,0.10902,0.5411,0.0,0.0,0.5,0.0,0.95863,0.0
0.1737,0.015,0.7,0.43541,5.19258,0.1,0.55955,0.0,0.0,0.5,0.0,0.99142,0.0
0.12037,0.015,0.7,0.43541,5.0,0.1,0.56284,0.0,0.0,0.5,0.0,0.99804,0.0
0.15893,0.015,0.7,0.40068,5.02782,0.1,0.41354,0.0,0.0,0.5,0.0,1.0,0.0
